datetime;cpu_percent;gpu_percent;cpu_temperature;gpu_temperature;motivo_chamado;id_empresa;mac_address
2025-05-08 00:00:00;76;78;59.0;50.1;Uso de CPU (%) abaixo do esperado;2;a1:b2:c3:d4:e5:f6
2025-05-08 00:00:00;78;37;68.1;63.6;Temperatura da GPU (°C) acima do esperado;2;ff:ee:dd:cc:bb:aa
2025-05-09 00:00:00;47;41;60.8;69.7;Uso de GPU (%) abaixo do esperado;2;e8:5c:5f:1e:b4:1d
2025-05-09 00:00:00;47;45;55.7;56.9;Temperatura da CPU (°C) acima do esperado;2;a1:b2:c3:d4:e5:f6
2025-05-10 00:00:00;78;39;55.9;64.3;Uso de CPU (%) abaixo do esperado;2;ff:ee:dd:cc:bb:aa
2025-05-11 00:00:00;47;68;68.9;52.9;Temperatura da GPU (°C) acima do esperado;2;e8:5c:5f:1e:b4:1d
2025-05-11 00:00:00;95;64;60.6;54.1;Uso de GPU (%) abaixo do esperado;2;a1:b2:c3:d4:e5:f6
2025-05-12 00:00:00;85;60;62.0;63.0;Temperatura da CPU (°C) acima do esperado;2;ff:ee:dd:cc:bb:aa
2025-05-13 00:00:00;71;42;73.2;55.2;Uso de CPU (%) abaixo do esperado;2;e8:5c:5f:1e:b4:1d
2025-05-14 00:00:00;44;67;55.9;58.8;Temperatura da GPU (°C) acima do esperado;2;a1:b2:c3:d4:e5:f6
2025-05-14 00:00:00;76;84;67.8;67.3;Uso de GPU (%) abaixo do esperado;2;ff:ee:dd:cc:bb:aa
2025-05-15 00:00:00;63;41;61.8;52.0;Temperatura da CPU (°C) acima do esperado;2;e8:5c:5f:1e:b4:1d
2025-05-15 00:00:00;86;38;67.3;64.0;Uso de CPU (%) abaixo do esperado;2;a1:b2:c3:d4:e5:f6
2025-05-16 00:00:00;69;54;73.3;56.2;Temperatura da GPU (°C) acima do esperado;2;ff:ee:dd:cc:bb:aa
