data,temperatura_cpu,temperatura_gpu,uso_cpu,uso_gpu
2025-05-08 00:00:00,59.0,50.1,76,78
2025-05-08 00:00:00,68.1,63.6,78,37
2025-05-09 00:00:00,60.8,69.7,47,41
2025-05-09 00:00:00,55.7,56.9,47,45
2025-05-10 00:00:00,55.9,64.3,78,39
2025-05-11 00:00:00,68.9,52.9,47,68
2025-05-11 00:00:00,60.6,54.1,95,64
2025-05-12 00:00:00,62.0,63.0,85,60
2025-05-13 00:00:00,73.2,55.2,71,42
2025-05-14 00:00:00,55.9,58.8,44,67
2025-05-14 00:00:00,67.8,67.3,76,84
2025-05-15 00:00:00,61.8,52.0,63,41
2025-05-15 00:00:00,67.3,64.0,86,38
2025-05-16 00:00:00,73.3,56.2,69,54
2025-05-16 00:00:00,59.5,69.5,58,41
2025-05-17 00:00:00,62.5,56.5,46,46
2025-05-18 00:00:00,60.5,59.6,79,67
2025-05-18 00:00:00,68.6,54.0,44,49
2025-05-19 00:00:00,61.7,60.0,41,79
2025-05-20 00:00:00,62.0,65.8,72,47
2025-05-21 00:00:00,63.7,54.0,43,67
2025-05-21 00:00:00,55.8,67.7,52,89
2025-05-22 00:00:00,73.7,68.3,76,42
2025-05-22 00:00:00,62.2,66.7,60,52
2025-05-23 00:00:00,66.2,67.9,76,39
2025-05-23 00:00:00,74.2,51.5,69,49
2025-05-24 00:00:00,61.1,68.7,66,73
2025-05-25 00:00:00,57.4,52.8,69,49
2025-05-25 00:00:00,69.5,61.6,45,35
2025-05-26 00:00:00,69.2,59.3,62,54
2025-05-26 00:00:00,73.3,61.0,85,86
2025-05-27 00:00:00,63.9,57.6,70,59
2025-05-27 00:00:00,69.6,52.5,70,68
2025-05-28 00:00:00,69.2,53.2,76,87
2025-05-28 00:00:00,71.1,57.2,74,39
2025-05-29 00:00:00,60.6,66.1,52,81
2025-05-29 00:00:00,71.5,59.1,43,58
2025-05-30 00:00:00,70.9,69.2,82,44
2025-05-31 00:00:00,67.3,64.8,43,63
2025-05-31 00:00:00,67.8,52.7,72,63
2025-06-01 00:00:00,55.9,70.0,49,37
2025-06-02 00:00:00,60.0,60.4,47,39
2025-06-02 00:00:00,65.5,67.8,53,50
2025-06-03 00:00:00,57.2,59.7,59,51
2025-06-03 00:00:00,72.4,60.9,51,85
2025-06-04 00:00:00,56.1,56.8,56,41
2025-06-05 00:00:00,69.7,58.9,67,64
2025-06-05 00:00:00,70.6,56.5,69,32
2025-06-06 00:00:00,56.1,60.5,44,45
2025-06-07 00:00:00,66.0,69.3,71,73
2025-06-08 00:00:00,65.6,50.9,40,73
2025-06-08 00:00:00,69.6,53.5,40,68
2025-06-09 00:00:00,60.0,64.3,44,38
2025-06-10 00:00:00,56.0,60.9,54,67
2025-06-10 00:00:00,71.6,53.8,60,51
2025-06-11 00:00:00,58.9,57.2,48,72
2025-06-12 00:00:00,72.4,55.6,62,57
2025-06-13 00:00:00,71.6,51.2,89,82
2025-06-14 00:00:00,70.8,59.6,76,82
2025-06-14 00:00:00,74.6,50.0,73,33
2025-06-15 00:00:00,63.6,62.2,65,77
2025-06-15 00:00:00,70.6,52.5,65,67
2025-06-16 00:00:00,67.1,58.1,45,33
2025-06-17 00:00:00,57.3,69.0,78,58
2025-06-18 00:00:00,55.3,59.1,74,52
2025-06-18 00:00:00,68.7,68.7,62,55
2025-06-19 00:00:00,55.0,65.5,86,50
2025-06-20 00:00:00,66.5,53.3,81,47
2025-06-20 00:00:00,71.0,51.5,51,75
2025-06-21 00:00:00,58.9,50.0,79,62
2025-06-22 00:00:00,59.6,62.4,46,86
2025-06-22 00:00:00,69.5,56.6,70,60
2025-06-23 00:00:00,69.1,62.9,79,32
2025-06-23 00:00:00,56.2,53.0,72,49
2025-06-24 00:00:00,68.2,57.9,80,36
2025-06-24 00:00:00,70.1,54.0,59,74
2025-06-25 00:00:00,63.8,67.3,75,32
2025-06-25 00:00:00,63.3,53.1,84,86
2025-06-26 00:00:00,59.2,67.4,73,61
2025-06-27 00:00:00,73.5,68.2,43,65
2025-06-27 00:00:00,57.7,54.2,92,64
2025-06-28 00:00:00,61.3,64.7,69,52
2025-06-29 00:00:00,69.9,59.4,41,35
2025-06-30 00:00:00,66.1,64.4,41,40
2025-07-01 00:00:00,69.9,68.5,58,30
2025-07-02 00:00:00,69.1,57.1,93,33
2025-07-03 00:00:00,57.4,59.0,41,32
2025-07-03 00:00:00,64.0,54.5,51,56
2025-07-04 00:00:00,64.4,60.0,43,77
2025-07-04 00:00:00,66.0,56.2,50,51
2025-07-05 00:00:00,67.9,65.6,92,63
2025-07-05 00:00:00,64.5,56.7,93,82
2025-07-06 00:00:00,61.4,54.2,61,32
2025-07-06 00:00:00,65.8,60.1,58,38
2025-07-07 00:00:00,65.2,50.4,89,63
2025-07-08 00:00:00,70.8,60.7,55,40
2025-07-08 00:00:00,59.2,51.6,40,48
2025-07-09 00:00:00,68.3,55.6,45,90
2025-07-09 00:00:00,72.3,53.1,72,89
2025-07-10 00:00:00,67.9,58.1,48,67
2025-07-10 00:00:00,68.7,61.7,40,40
2025-07-11 00:00:00,73.1,66.9,58,74
2025-07-11 00:00:00,67.0,66.8,86,78
2025-07-12 00:00:00,72.4,54.4,88,74
2025-07-12 00:00:00,60.3,64.9,93,71
2025-07-13 00:00:00,69.7,60.8,74,48
2025-07-13 00:00:00,73.3,67.1,58,89
2025-07-14 00:00:00,57.3,65.0,59,59
2025-07-14 00:00:00,60.3,68.6,91,62
2025-07-15 00:00:00,70.4,57.7,82,55
2025-07-15 00:00:00,64.3,60.1,43,61
2025-07-16 00:00:00,68.6,60.6,78,43
2025-07-17 00:00:00,68.9,51.8,92,32
2025-07-17 00:00:00,60.9,57.4,83,72
2025-07-18 00:00:00,69.9,58.8,67,79
2025-07-18 00:00:00,63.2,58.4,49,41
2025-07-19 00:00:00,60.8,52.0,50,79
2025-07-20 00:00:00,75.0,61.0,66,48
2025-07-21 00:00:00,72.5,62.1,78,83
2025-07-22 00:00:00,68.4,61.9,55,77
2025-07-22 00:00:00,58.0,60.5,82,74
2025-07-23 00:00:00,68.5,51.5,60,77
2025-07-24 00:00:00,71.3,54.1,86,46
2025-07-25 00:00:00,66.0,56.6,65,42
2025-07-25 00:00:00,61.8,68.1,45,35
2025-07-26 00:00:00,74.5,57.4,49,50
2025-07-27 00:00:00,70.5,66.2,87,50
2025-07-28 00:00:00,57.2,61.8,69,50
2025-07-28 00:00:00,70.1,66.9,74,73
2025-07-29 00:00:00,70.0,60.3,85,83
2025-07-29 00:00:00,68.1,61.1,65,37
2025-07-30 00:00:00,60.8,68.4,90,30
2025-07-31 00:00:00,55.9,68.5,70,46
2025-07-31 00:00:00,66.6,53.4,72,32
2025-08-01 00:00:00,61.6,69.1,85,70
2025-08-01 00:00:00,73.7,66.1,84,45
2025-08-02 00:00:00,74.8,60.2,55,88
2025-08-02 00:00:00,63.9,55.0,63,85
2025-08-03 00:00:00,65.3,62.1,70,33
2025-08-03 00:00:00,71.4,57.7,62,50
2025-08-04 00:00:00,68.7,51.8,75,84
2025-08-04 00:00:00,67.8,58.4,61,69
2025-08-05 00:00:00,57.6,66.4,73,59
2025-08-05 00:00:00,71.3,52.7,82,88
2025-08-06 00:00:00,60.0,68.1,61,53
2025-08-06 00:00:00,58.6,51.8,41,67
2025-08-07 00:00:00,60.8,56.0,64,90
2025-08-08 00:00:00,64.1,59.2,58,75
2025-08-09 00:00:00,70.2,69.1,91,74
2025-08-10 00:00:00,56.5,51.1,72,73
2025-08-11 00:00:00,64.6,60.1,69,42
2025-08-11 00:00:00,64.8,51.1,86,90
2025-08-12 00:00:00,71.9,50.5,44,67
2025-08-12 00:00:00,57.4,54.5,94,39
2025-08-13 00:00:00,70.6,57.5,82,59
2025-08-14 00:00:00,59.4,61.7,45,71
2025-08-15 00:00:00,61.6,53.7,67,37
2025-08-15 00:00:00,67.1,68.3,78,74
2025-08-16 00:00:00,64.1,50.9,73,34
2025-08-17 00:00:00,62.5,53.4,95,84
2025-08-17 00:00:00,64.7,61.6,65,32
2025-08-18 00:00:00,68.0,58.7,80,33
2025-08-18 00:00:00,55.5,63.4,91,38
2025-08-19 00:00:00,66.1,66.5,86,66
2025-08-20 00:00:00,61.0,62.9,45,50
2025-08-20 00:00:00,70.1,55.6,80,84
2025-08-21 00:00:00,57.2,54.5,67,83
2025-08-22 00:00:00,71.7,59.3,93,33
2025-08-23 00:00:00,57.0,55.6,52,63
2025-08-24 00:00:00,60.1,61.5,84,75
2025-08-25 00:00:00,62.3,66.4,53,56
2025-08-26 00:00:00,65.7,53.1,45,35
2025-08-27 00:00:00,63.8,69.6,56,40
2025-08-28 00:00:00,57.3,67.2,75,53
2025-08-28 00:00:00,74.8,60.6,41,58
2025-08-29 00:00:00,73.2,69.7,81,82
2025-08-30 00:00:00,73.1,53.3,65,43
2025-08-31 00:00:00,65.1,67.5,68,41
2025-09-01 00:00:00,59.1,50.4,92,77
2025-09-01 00:00:00,58.4,55.1,51,44
2025-09-02 00:00:00,61.4,54.3,75,73
2025-09-02 00:00:00,55.3,59.7,42,59
2025-09-03 00:00:00,60.6,67.2,58,43
2025-09-04 00:00:00,55.3,69.5,46,73
2025-09-04 00:00:00,70.2,51.4,91,57
2025-09-05 00:00:00,62.4,65.8,90,87
2025-09-06 00:00:00,68.7,51.1,57,45
2025-09-07 00:00:00,68.9,59.7,69,69
2025-09-07 00:00:00,73.9,55.1,77,60
2025-09-08 00:00:00,71.1,69.3,41,46
2025-09-08 00:00:00,60.9,64.4,86,39
2025-09-09 00:00:00,56.3,62.3,93,81
2025-09-09 00:00:00,72.1,51.1,64,90
2025-09-10 00:00:00,62.4,50.5,65,88
2025-09-10 00:00:00,74.2,68.4,49,34
2025-09-11 00:00:00,66.3,51.0,51,68
2025-09-12 00:00:00,71.3,65.7,73,40
2025-09-12 00:00:00,72.8,64.5,49,61
2025-09-13 00:00:00,66.6,58.5,77,62
2025-09-14 00:00:00,63.5,56.4,67,68
2025-09-15 00:00:00,56.7,52.5,74,32
2025-09-15 00:00:00,65.4,52.4,91,79
2025-09-16 00:00:00,59.5,51.2,69,62
2025-09-17 00:00:00,65.0,69.5,74,76
2025-09-17 00:00:00,67.0,57.3,60,33
2025-09-18 00:00:00,61.6,65.4,90,40
2025-09-19 00:00:00,69.9,63.4,89,59
2025-09-19 00:00:00,73.6,62.1,87,76
2025-09-20 00:00:00,63.8,68.0,75,77
2025-09-20 00:00:00,65.1,52.4,88,51
2025-09-21 00:00:00,74.7,55.4,69,84
2025-09-21 00:00:00,70.7,66.6,65,70
2025-09-22 00:00:00,68.0,59.2,65,78
2025-09-23 00:00:00,55.5,57.9,57,79
2025-09-23 00:00:00,59.3,52.5,42,76
2025-09-24 00:00:00,70.7,60.7,81,71
2025-09-24 00:00:00,64.6,55.7,82,58
2025-09-25 00:00:00,58.9,64.1,82,79
2025-09-25 00:00:00,65.9,55.7,80,39
2025-09-26 00:00:00,66.6,62.3,69,69
2025-09-26 00:00:00,55.7,65.2,67,37
2025-09-27 00:00:00,58.4,69.0,83,73
2025-09-27 00:00:00,70.0,61.6,92,56
2025-09-28 00:00:00,73.5,53.7,68,40
2025-09-28 00:00:00,70.2,68.4,46,72
2025-09-29 00:00:00,56.7,60.7,57,72
2025-09-29 00:00:00,61.3,53.6,46,51
2025-09-30 00:00:00,74.4,58.1,82,42
2025-09-30 00:00:00,61.9,65.2,58,62
2025-10-01 00:00:00,61.9,60.6,44,40
2025-10-01 00:00:00,72.5,63.9,53,62
2025-10-02 00:00:00,55.9,66.1,77,85
2025-10-03 00:00:00,73.3,54.1,65,90
2025-10-03 00:00:00,63.3,60.5,78,69
2025-10-04 00:00:00,61.4,64.1,56,55
2025-10-05 00:00:00,62.3,50.6,76,43
2025-10-06 00:00:00,72.0,66.3,46,64
2025-10-06 00:00:00,64.7,58.4,58,57
2025-10-07 00:00:00,63.0,63.4,87,50
2025-10-07 00:00:00,55.4,67.8,55,59
2025-10-08 00:00:00,70.4,57.7,86,50
2025-10-08 00:00:00,63.0,65.3,76,54
2025-10-09 00:00:00,74.4,59.0,69,68
2025-10-09 00:00:00,68.2,55.6,67,85
2025-10-10 00:00:00,63.3,53.9,51,81
2025-10-11 00:00:00,67.8,67.3,83,67
2025-10-12 00:00:00,66.4,59.5,83,79
2025-10-13 00:00:00,62.2,59.0,71,32
2025-10-13 00:00:00,60.8,56.2,64,77
2025-10-14 00:00:00,72.8,60.7,69,41
2025-10-14 00:00:00,67.6,62.5,41,59
2025-10-15 00:00:00,68.6,62.0,76,72
2025-10-15 00:00:00,68.8,65.4,49,41
2025-10-16 00:00:00,61.0,54.0,68,68
2025-10-16 00:00:00,63.3,65.9,91,60
2025-10-17 00:00:00,59.2,66.6,95,70
2025-10-18 00:00:00,73.9,70.0,86,80
2025-10-19 00:00:00,67.2,54.4,85,54
2025-10-20 00:00:00,70.2,59.2,89,75
2025-10-20 00:00:00,70.8,60.5,59,46
2025-10-21 00:00:00,69.5,60.4,82,69
2025-10-22 00:00:00,69.9,52.3,72,37
2025-10-22 00:00:00,67.0,54.3,68,86
2025-10-23 00:00:00,61.5,52.1,76,77
2025-10-23 00:00:00,61.6,54.0,43,83
2025-10-24 00:00:00,71.4,69.5,43,78
2025-10-24 00:00:00,71.0,56.2,76,65
2025-10-25 00:00:00,59.6,60.5,47,60
2025-10-25 00:00:00,62.6,63.9,42,53
2025-10-26 00:00:00,64.6,64.4,65,45
2025-10-27 00:00:00,65.8,68.3,49,50
2025-10-28 00:00:00,64.2,57.2,43,59
2025-10-29 00:00:00,59.0,54.5,61,58
2025-10-29 00:00:00,67.2,53.6,73,58
2025-10-30 00:00:00,69.6,58.9,77,58
2025-10-31 00:00:00,56.2,62.9,42,50
2025-11-01 00:00:00,64.0,57.0,85,53
2025-11-02 00:00:00,55.5,62.0,84,37
2025-11-02 00:00:00,58.4,67.6,89,79
2025-11-03 00:00:00,63.1,54.1,48,85
2025-11-04 00:00:00,64.9,55.7,79,61
