datetime;cpu_percent;gpu_percent;cpu_temperature;gpu_temperature;id_empresa;mac_address
2025-11-04 00:00:00;18.5;14.2;39;35;2;a1:b2:c3:d4:e5:f6
2025-11-04 03:00:00;25.1;19.3;43;38;2;a1:b2:c3:d4:e5:f6
2025-11-04 06:00:00;37.8;28.7;49;42;2;a1:b2:c3:d4:e5:f6
2025-11-04 09:00:00;29.4;26.1;45;40;2;a1:b2:c3:d4:e5:f6
2025-11-04 12:00:00;21.6;18.2;40;37;2;a1:b2:c3:d4:e5:f6
2025-11-04 15:00:00;41.3;33.9;50;44;2;a1:b2:c3:d4:e5:f6
2025-11-04 18:00:00;35.7;27.4;47;42;2;a1:b2:c3:d4:e5:f6
2025-11-04 21:00:00;26.8;22.3;43;39;2;a1:b2:c3:d4:e5:f6
2025-11-05 00:00:00;31.9;26.5;46;41;2;a1:b2:c3:d4:e5:f6
2025-11-05 03:00:00;80.7;84;60;65;2;a1:b2:c3:d4:e5:f6

2025-11-04 00:00:00;12.9;10.5;36;33;2;ff:ee:dd:cc:bb:aa
2025-11-04 03:00:00;19.6;15.1;40;35;2;ff:ee:dd:cc:bb:aa
2025-11-04 06:00:00;30.3;23.7;45;39;2;ff:ee:dd:cc:bb:aa
2025-11-04 09:00:00;25.8;21.4;42;38;2;ff:ee:dd:cc:bb:aa
2025-11-04 12:00:00;18.4;14.7;38;34;2;ff:ee:dd:cc:bb:aa
2025-11-04 15:00:00;39.5;30.8;48;43;2;ff:ee:dd:cc:bb:aa
2025-11-04 18:00:00;33.2;25.6;46;41;2;ff:ee:dd:cc:bb:aa
2025-11-04 21:00:00;22.7;20.4;41;37;2;ff:ee:dd:cc:bb:aa
2025-11-05 00:00:00;29.8;24.9;44;39;2;ff:ee:dd:cc:bb:aa
2025-11-05 03:00:00;75;78;65;70;2;ff:ee:dd:cc:bb:aa

2025-11-04 00:00:00;14.8;11.4;37;34;2;e8:5c:5f:1e:b4:1d
2025-11-04 03:00:00;20.7;16.8;41;36;2;e8:5c:5f:1e:b4:1d
2025-11-04 06:00:00;32.5;26.2;47;40;2;e8:5c:5f:1e:b4:1d
2025-11-04 09:00:00;26.3;23.7;43;38;2;e8:5c:5f:1e:b4:1d
2025-11-04 12:00:00;19.9;16.1;39;35;2;e8:5c:5f:1e:b4:1d
2025-11-04 15:00:00;40.8;32.5;49;43;2;e8:5c:5f:1e:b4:1d
2025-11-04 18:00:00;36.6;28.1;47;41;2;e8:5c:5f:1e:b4:1d
2025-11-04 21:00:00;24.2;21.9;42;38;2;e8:5c:5f:1e:b4:1d
2025-11-05 00:00:00;31.1;25.7;45;40;2;e8:5c:5f:1e:b4:1d
2025-11-05 03:00:00;65;70;65;60;2;e8:5c:5f:1e:b4:1d
